"Nome do anúncio",Alcance,Impressões,Frequência,"Valor usado (BRL)","Configuração de atribuição","Tipo de resultado",Resultados,"Custo por resultado","CPM (custo por 1.000 impressões)","CTR (todos)","Classificação de qualidade","Classificação da taxa de engajamento","Custo por lead","Valor médio de conversão de compra","Conversas por mensagem iniciadas","Custo por conversa por mensagem iniciada","CPC (custo por clique no link)","Cliques (todos)","Engajamento com a Página","Reproduções de 25% do vídeo","Reproduções de 50% do vídeo","Reproduções de 75% do vídeo","Reproduções de 95% do vídeo","Reproduções de 100% do vídeo","Início dos relatórios","Término dos relatórios"
"AD 04 - CARROSSEL ST - 24/05/2024",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 02 - IMAGEM ÚNICA - 18 | 08",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 02 - CARROSSEL ST - 24/05/2024",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 03 - VÍDEO - 18 | 04",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 05 - CARROSSEL ST - 24/05/2024",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD - 02 - CARROSSEL ST - 24/05/2024",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 02 - IMAGEM ÚNICA - 14 | 07",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 01 - IMAGEM ÚNICA - 18 | 08",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 03 CARROSSEL - 06 | 10",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 01 - CARROSSEL 1 - 21 | 12",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 02 - IMAGEM ÚNICA - 17 | 08",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 02 - IMAGEM ÚNICA - 18 | 08",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 01 - CARROSSEL",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD - 01 - CARROSSEL ST - 24/05/2024",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 01 IMAGEM ÚNICA - 06 | 10",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 02 - IMAGEM ÚNICA - 18 | 08",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 02 IMAGEM ÚNICA - 06 | 10",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 02 - IMAGEM STORIES",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD - 03 - CARROSSEL ST - 24/05/2024",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD - 04 - CARROSSEL ST - 24/05/2024",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 02 - VÍDEO - 18 | 04",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 01 - CARROSSEL 1 - 18 | 04",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 01 - VÍDEO STORIES - 04/04/24",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 01 - IMAGEM ÚNICA - 17 | 08",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 02 - IMAGEM ÚNICA - 17 | 08",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 02 - CARROSSEL 2 - 18 | 04",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
"AD 03 - CARROSSEL - 18 | 08",0,0,0,0,,,,,,,–,–,,,,,,0,,,,,,,2024-09-30,2024-10-29
